Edad;Sexo;Unidad;Periodo;Total
De 40 a 44 años;Hombres;Porcentaje;2002T3;9,2
De 40 a 44 años;Hombres;Porcentaje;2002T2;9
De 40 a 44 años;Hombres;Porcentaje;2002T1;9,2
De 40 a 44 años;Mujeres;Valor absoluto;2026T1;166
De 40 a 44 años;Mujeres;Valor absoluto;2025T4;146,1
De 40 a 44 años;Mujeres;Valor absoluto;2025T3;149,2
De 40 a 44 años;Mujeres;Valor absoluto;2025T2;150,1
De 40 a 44 años;Mujeres;Valor absoluto;2025T1;185,2
De 40 a 44 años;Mujeres;Valor absoluto;2024T4;155,9
De 40 a 44 años;Mujeres;Valor absoluto;2024T3;154,5
De 40 a 44 años;Mujeres;Valor absoluto;2024T2;167
De 40 a 44 años;Mujeres;Valor absoluto;2024T1;192,4
De 40 a 44 años;Mujeres;Valor absoluto;2023T4;165,5
De 40 a 44 años;Mujeres;Valor absoluto;2023T3;161,5
De 40 a 44 años;Mujeres;Valor absoluto;2023T2;175,8
De 40 a 44 años;Mujeres;Valor absoluto;2023T1;204,7
De 40 a 44 años;Mujeres;Valor absoluto;2022T4;194
De 40 a 44 años;Mujeres;Valor absoluto;2022T3;196,4
De 40 a 44 años;Mujeres;Valor absoluto;2022T2;200,3
De 40 a 44 años;Mujeres;Valor absoluto;2022T1;217,5
De 40 a 44 años;Mujeres;Valor absoluto;2021T4;204,9
De 40 a 44 años;Mujeres;Valor absoluto;2021T3;213,2
De 40 a 44 años;Mujeres;Valor absoluto;2021T2;220,4
De 40 a 44 años;Mujeres;Valor absoluto;2021T1;249,2
De 40 a 44 años;Mujeres;Valor absoluto;2020T4;258,9
De 40 a 44 años;Mujeres;Valor absoluto;2020T3;246,1
De 40 a 44 años;Mujeres;Valor absoluto;2020T2;215,7
De 40 a 44 años;Mujeres;Valor absoluto;2020T1;228,9
De 40 a 44 años;Mujeres;Valor absoluto;2019T4;222,4
De 40 a 44 años;Mujeres;Valor absoluto;2019T3;238
De 40 a 44 años;Mujeres;Valor absoluto;2019T2;226,2
De 40 a 44 años;Mujeres;Valor absoluto;2019T1;245,2
De 40 a 44 años;Mujeres;Valor absoluto;2018T4;238,8
De 40 a 44 años;Mujeres;Valor absoluto;2018T3;226,1
De 40 a 44 años;Mujeres;Valor absoluto;2018T2;243,2
De 40 a 44 años;Mujeres;Valor absoluto;2018T1;272,4
De 40 a 44 años;Mujeres;Valor absoluto;2017T4;265,6
De 40 a 44 años;Mujeres;Valor absoluto;2017T3;267,1
De 40 a 44 años;Mujeres;Valor absoluto;2017T2;282,8
De 40 a 44 años;Mujeres;Valor absoluto;2017T1;317,8
De 40 a 44 años;Mujeres;Valor absoluto;2016T4;281,5
De 40 a 44 años;Mujeres;Valor absoluto;2016T3;295,4
De 40 a 44 años;Mujeres;Valor absoluto;2016T2;319,4
De 40 a 44 años;Mujeres;Valor absoluto;2016T1;325,3
De 40 a 44 años;Mujeres;Valor absoluto;2015T4;318,7
De 40 a 44 años;Mujeres;Valor absoluto;2015T3;307,5
De 40 a 44 años;Mujeres;Valor absoluto;2015T2;352,3
De 40 a 44 años;Mujeres;Valor absoluto;2015T1;372,8
De 40 a 44 años;Mujeres;Valor absoluto;2014T4;376,9
De 40 a 44 años;Mujeres;Valor absoluto;2014T3;345,4
De 40 a 44 años;Mujeres;Valor absoluto;2014T2;371,3
De 40 a 44 años;Mujeres;Valor absoluto;2014T1;372,1
De 40 a 44 años;Mujeres;Valor absoluto;2013T4;377,7
De 40 a 44 años;Mujeres;Valor absoluto;2013T3;357,8
De 40 a 44 años;Mujeres;Valor absoluto;2013T2;365,6
De 40 a 44 años;Mujeres;Valor absoluto;2013T1;381,8
De 40 a 44 años;Mujeres;Valor absoluto;2012T4;361,3
De 40 a 44 años;Mujeres;Valor absoluto;2012T3;347,6
De 40 a 44 años;Mujeres;Valor absoluto;2012T2;349,5
De 40 a 44 años;Mujeres;Valor absoluto;2012T1;368,7
De 40 a 44 años;Mujeres;Valor absoluto;2011T4;328,5
De 40 a 44 años;Mujeres;Valor absoluto;2011T3;296,4
De 40 a 44 años;Mujeres;Valor absoluto;2011T2;286,4
De 40 a 44 años;Mujeres;Valor absoluto;2011T1;283,7
De 40 a 44 años;Mujeres;Valor absoluto;2010T4;269,4
De 40 a 44 años;Mujeres;Valor absoluto;2010T3;250,4
De 40 a 44 años;Mujeres;Valor absoluto;2010T2;257
De 40 a 44 años;Mujeres;Valor absoluto;2010T1;237,6
De 40 a 44 años;Mujeres;Valor absoluto;2009T4;238,5
De 40 a 44 años;Mujeres;Valor absoluto;2009T3;220,1
De 40 a 44 años;Mujeres;Valor absoluto;2009T2;229,9
De 40 a 44 años;Mujeres;Valor absoluto;2009T1;213,2
De 40 a 44 años;Mujeres;Valor absoluto;2008T4;201,2
De 40 a 44 años;Mujeres;Valor absoluto;2008T3;149,5
De 40 a 44 años;Mujeres;Valor absoluto;2008T2;150
De 40 a 44 años;Mujeres;Valor absoluto;2008T1;157,3
De 40 a 44 años;Mujeres;Valor absoluto;2007T4;137
De 40 a 44 años;Mujeres;Valor absoluto;2007T3;111,3
De 40 a 44 años;Mujeres;Valor absoluto;2007T2;114,7
De 40 a 44 años;Mujeres;Valor absoluto;2007T1;120
De 40 a 44 años;Mujeres;Valor absoluto;2006T4;116,9
De 40 a 44 años;Mujeres;Valor absoluto;2006T3;110,5
De 40 a 44 años;Mujeres;Valor absoluto;2006T2;118,7
De 40 a 44 años;Mujeres;Valor absoluto;2006T1;129,2
De 40 a 44 años;Mujeres;Valor absoluto;2005T4;123,5
De 40 a 44 años;Mujeres;Valor absoluto;2005T3;97,6
De 40 a 44 años;Mujeres;Valor absoluto;2005T2;114,8
De 40 a 44 años;Mujeres;Valor absoluto;2005T1;142,2
De 40 a 44 años;Mujeres;Valor absoluto;2004T4;145,4
De 40 a 44 años;Mujeres;Valor absoluto;2004T3;143,3
De 40 a 44 años;Mujeres;Valor absoluto;2004T2;157,2
De 40 a 44 años;Mujeres;Valor absoluto;2004T1;140,4
De 40 a 44 años;Mujeres;Valor absoluto;2003T4;132,4
De 40 a 44 años;Mujeres;Valor absoluto;2003T3;136,2
De 40 a 44 años;Mujeres;Valor absoluto;2003T2;134,6
De 40 a 44 años;Mujeres;Valor absoluto;2003T1;125,5
De 40 a 44 años;Mujeres;Valor absoluto;2002T4;125,4
De 40 a 44 años;Mujeres;Valor absoluto;2002T3;123,4
De 40 a 44 años;Mujeres;Valor absoluto;2002T2;119,1
De 40 a 44 años;Mujeres;Valor absoluto;2002T1;125,5
De 40 a 44 años;Mujeres;Porcentaje;2026T1;11,4
De 40 a 44 años;Mujeres;Porcentaje;2025T4;11
De 40 a 44 años;Mujeres;Porcentaje;2025T3;10,4
De 40 a 44 años;Mujeres;Porcentaje;2025T2;11,1
De 40 a 44 años;Mujeres;Porcentaje;2025T1;12,5
De 40 a 44 años;Mujeres;Porcentaje;2024T4;11,4
De 40 a 44 años;Mujeres;Porcentaje;2024T3;10,6
De 40 a 44 años;Mujeres;Porcentaje;2024T2;11,5
De 40 a 44 años;Mujeres;Porcentaje;2024T1;12,3
De 40 a 44 años;Mujeres;Porcentaje;2023T4;10,8
De 40 a 44 años;Mujeres;Porcentaje;2023T3;10,3
De 40 a 44 años;Mujeres;Porcentaje;2023T2;11,7
De 40 a 44 años;Mujeres;Porcentaje;2023T1;11,9
De 40 a 44 años;Mujeres;Porcentaje;2022T4;11,8
De 40 a 44 años;Mujeres;Porcentaje;2022T3;11,8
De 40 a 44 años;Mujeres;Porcentaje;2022T2;12,5
De 40 a 44 años;Mujeres;Porcentaje;2022T1;12,8
De 40 a 44 años;Mujeres;Porcentaje;2021T4;12,3
De 40 a 44 años;Mujeres;Porcentaje;2021T3;11,7
De 40 a 44 años;Mujeres;Porcentaje;2021T2;11,5
De 40 a 44 años;Mujeres;Porcentaje;2021T1;12,7
De 40 a 44 años;Mujeres;Porcentaje;2020T4;13
De 40 a 44 años;Mujeres;Porcentaje;2020T3;12,5
De 40 a 44 años;Mujeres;Porcentaje;2020T2;12,7
De 40 a 44 años;Mujeres;Porcentaje;2020T1;13,1
De 40 a 44 años;Mujeres;Porcentaje;2019T4;13,2
De 40 a 44 años;Mujeres;Porcentaje;2019T3;13,9
De 40 a 44 años;Mujeres;Porcentaje;2019T2;13,3
De 40 a 44 años;Mujeres;Porcentaje;2019T1;13,7
De 40 a 44 años;Mujeres;Porcentaje;2018T4;13,8
De 40 a 44 años;Mujeres;Porcentaje;2018T3;13,2
De 40 a 44 años;Mujeres;Porcentaje;2018T2;13,4
De 40 a 44 años;Mujeres;Porcentaje;2018T1;13,9
De 40 a 44 años;Mujeres;Porcentaje;2017T4;13,6
De 40 a 44 años;Mujeres;Porcentaje;2017T3;13,9
De 40 a 44 años;Mujeres;Porcentaje;2017T2;14
De 40 a 44 años;Mujeres;Porcentaje;2017T1;14,7
De 40 a 44 años;Mujeres;Porcentaje;2016T4;13,1
De 40 a 44 años;Mujeres;Porcentaje;2016T3;13,5
De 40 a 44 años;Mujeres;Porcentaje;2016T2;13,7
De 40 a 44 años;Mujeres;Porcentaje;2016T1;13,5
De 40 a 44 años;Mujeres;Porcentaje;2015T4;13,3
De 40 a 44 años;Mujeres;Porcentaje;2015T3;12,9
De 40 a 44 años;Mujeres;Porcentaje;2015T2;13,8
De 40 a 44 años;Mujeres;Porcentaje;2015T1;14,1
De 40 a 44 años;Mujeres;Porcentaje;2014T4;14,3
De 40 a 44 años;Mujeres;Porcentaje;2014T3;13,1
De 40 a 44 años;Mujeres;Porcentaje;2014T2;13,8
De 40 a 44 años;Mujeres;Porcentaje;2014T1;13,2
De 40 a 44 años;Mujeres;Porcentaje;2013T4;13,4
De 40 a 44 años;Mujeres;Porcentaje;2013T3;12,9
De 40 a 44 años;Mujeres;Porcentaje;2013T2;12,8
De 40 a 44 años;Mujeres;Porcentaje;2013T1;13,1
De 40 a 44 años;Mujeres;Porcentaje;2012T4;12,9
De 40 a 44 años;Mujeres;Porcentaje;2012T3;12,9
De 40 a 44 años;Mujeres;Porcentaje;2012T2;13,4
De 40 a 44 años;Mujeres;Porcentaje;2012T1;14,1
De 40 a 44 años;Mujeres;Porcentaje;2011T4;13,5
De 40 a 44 años;Mujeres;Porcentaje;2011T3;12,9
De 40 a 44 años;Mujeres;Porcentaje;2011T2;12,9
De 40 a 44 años;Mujeres;Porcentaje;2011T1;12,5
De 40 a 44 años;Mujeres;Porcentaje;2010T4;12,5
De 40 a 44 años;Mujeres;Porcentaje;2010T3;11,9
De 40 a 44 años;Mujeres;Porcentaje;2010T2;12,2
De 40 a 44 años;Mujeres;Porcentaje;2010T1;11,5
De 40 a 44 años;Mujeres;Porcentaje;2009T4;12,3
De 40 a 44 años;Mujeres;Porcentaje;2009T3;12
De 40 a 44 años;Mujeres;Porcentaje;2009T2;12,5
De 40 a 44 años;Mujeres;Porcentaje;2009T1;11,8
De 40 a 44 años;Mujeres;Porcentaje;2008T4;13,3
De 40 a 44 años;Mujeres;Porcentaje;2008T3;12
De 40 a 44 años;Mujeres;Porcentaje;2008T2;12,6
De 40 a 44 años;Mujeres;Porcentaje;2008T1;13,6
De 40 a 44 años;Mujeres;Porcentaje;2007T4;13,1
De 40 a 44 años;Mujeres;Porcentaje;2007T3;11,2
De 40 a 44 años;Mujeres;Porcentaje;2007T2;11,7
De 40 a 44 años;Mujeres;Porcentaje;2007T1;11,4
De 40 a 44 años;Mujeres;Porcentaje;2006T4;11,2
De 40 a 44 años;Mujeres;Porcentaje;2006T3;11,1
De 40 a 44 años;Mujeres;Porcentaje;2006T2;11,5
De 40 a 44 años;Mujeres;Porcentaje;2006T1;11,9
De 40 a 44 años;Mujeres;Porcentaje;2005T4;12,1
De 40 a 44 años;Mujeres;Porcentaje;2005T3;10,1
De 40 a 44 años;Mujeres;Porcentaje;2005T2;10,9
De 40 a 44 años;Mujeres;Porcentaje;2005T1;12,2
De 40 a 44 años;Mujeres;Porcentaje;2004T4;11,8
De 40 a 44 años;Mujeres;Porcentaje;2004T3;11,8
De 40 a 44 años;Mujeres;Porcentaje;2004T2;12,5
De 40 a 44 años;Mujeres;Porcentaje;2004T1;11
De 40 a 44 años;Mujeres;Porcentaje;2003T4;10,5
De 40 a 44 años;Mujeres;Porcentaje;2003T3;10,8
De 40 a 44 años;Mujeres;Porcentaje;2003T2;10,8
De 40 a 44 años;Mujeres;Porcentaje;2003T1;9,5
De 40 a 44 años;Mujeres;Porcentaje;2002T4;10,1
De 40 a 44 años;Mujeres;Porcentaje;2002T3;9,9
De 40 a 44 años;Mujeres;Porcentaje;2002T2;9,8
De 40 a 44 años;Mujeres;Porcentaje;2002T1;10,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2026T1;315,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2025T4;279,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2025T3;275,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2025T2;284,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2025T1;319,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2024T4;287,9
De 45 a 49 años;Ambos sexos;Valor absoluto;2024T3;282,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2024T2;333,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2024T1;368
De 45 a 49 años;Ambos sexos;Valor absoluto;2023T4;328,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2023T3;325
De 45 a 49 años;Ambos sexos;Valor absoluto;2023T2;314
De 45 a 49 años;Ambos sexos;Valor absoluto;2023T1;385,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2022T4;375,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2022T3;332,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2022T2;334
De 45 a 49 años;Ambos sexos;Valor absoluto;2022T1;371,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2021T4;373,9
De 45 a 49 años;Ambos sexos;Valor absoluto;2021T3;388,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2021T2;404,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2021T1;433,9
De 45 a 49 años;Ambos sexos;Valor absoluto;2020T4;434,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2020T3;443,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2020T2;380,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2020T1;395,1
De 45 a 49 años;Ambos sexos;Valor absoluto;2019T4;384,7
De 45 a 49 años;Ambos sexos;Valor absoluto;2019T3;369,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2019T2;374
De 45 a 49 años;Ambos sexos;Valor absoluto;2019T1;411,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2018T4;379,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2018T3;392,7
De 45 a 49 años;Ambos sexos;Valor absoluto;2018T2;448,1
De 45 a 49 años;Ambos sexos;Valor absoluto;2018T1;463
De 45 a 49 años;Ambos sexos;Valor absoluto;2017T4;460,8
De 45 a 49 años;Ambos sexos;Valor absoluto;2017T3;451,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2017T2;480
De 45 a 49 años;Ambos sexos;Valor absoluto;2017T1;544,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2016T4;514,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2016T3;530,9
De 45 a 49 años;Ambos sexos;Valor absoluto;2016T2;534,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2016T1;597,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2015T4;598,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2015T3;600,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2015T2;649,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2015T1;685,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2014T4;650,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2014T3;654,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2014T2;701,7
De 45 a 49 años;Ambos sexos;Valor absoluto;2014T1;726,1
De 45 a 49 años;Ambos sexos;Valor absoluto;2013T4;693,7
De 45 a 49 años;Ambos sexos;Valor absoluto;2013T3;705,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2013T2;738,7
De 45 a 49 años;Ambos sexos;Valor absoluto;2013T1;733,8
De 45 a 49 años;Ambos sexos;Valor absoluto;2012T4;685,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2012T3;664,8
De 45 a 49 años;Ambos sexos;Valor absoluto;2012T2;652,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2012T1;625,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2011T4;580
De 45 a 49 años;Ambos sexos;Valor absoluto;2011T3;526,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2011T2;497,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2011T1;527,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2010T4;470,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2010T3;440,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2010T2;467,8
De 45 a 49 años;Ambos sexos;Valor absoluto;2010T1;469,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2009T4;411,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2009T3;377,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2009T2;394,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2009T1;391,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2008T4;293,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2008T3;225,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2008T2;211,4
De 45 a 49 años;Ambos sexos;Valor absoluto;2008T1;193,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2007T4;185,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2007T3;164,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2007T2;151,8
De 45 a 49 años;Ambos sexos;Valor absoluto;2007T1;151,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2006T4;149,1
De 45 a 49 años;Ambos sexos;Valor absoluto;2006T3;139,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2006T2;132,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2006T1;157,8
De 45 a 49 años;Ambos sexos;Valor absoluto;2005T4;157,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2005T3;140,1
De 45 a 49 años;Ambos sexos;Valor absoluto;2005T2;152,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2005T1;168,1
De 45 a 49 años;Ambos sexos;Valor absoluto;2004T4;179,1
De 45 a 49 años;Ambos sexos;Valor absoluto;2004T3;175,6
De 45 a 49 años;Ambos sexos;Valor absoluto;2004T2;174,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2004T1;171,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2003T4;171
De 45 a 49 años;Ambos sexos;Valor absoluto;2003T3;157,9
De 45 a 49 años;Ambos sexos;Valor absoluto;2003T2;167,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2003T1;180,5
De 45 a 49 años;Ambos sexos;Valor absoluto;2002T4;168,3
De 45 a 49 años;Ambos sexos;Valor absoluto;2002T3;162,8
De 45 a 49 años;Ambos sexos;Valor absoluto;2002T2;155,2
De 45 a 49 años;Ambos sexos;Valor absoluto;2002T1;149,5
De 45 a 49 años;Ambos sexos;Porcentaje;2026T1;11,6
De 45 a 49 años;Ambos sexos;Porcentaje;2025T4;11,3
De 45 a 49 años;Ambos sexos;Porcentaje;2025T3;10,5
De 45 a 49 años;Ambos sexos;Porcentaje;2025T2;11,1
De 45 a 49 años;Ambos sexos;Porcentaje;2025T1;11,4
De 45 a 49 años;Ambos sexos;Porcentaje;2024T4;11,1
De 45 a 49 años;Ambos sexos;Porcentaje;2024T3;10,3
De 45 a 49 años;Ambos sexos;Porcentaje;2024T2;12,1
De 45 a 49 años;Ambos sexos;Porcentaje;2024T1;12,4
De 45 a 49 años;Ambos sexos;Porcentaje;2023T4;11,5
De 45 a 49 años;Ambos sexos;Porcentaje;2023T3;11,2
De 45 a 49 años;Ambos sexos;Porcentaje;2023T2;11,2
De 45 a 49 años;Ambos sexos;Porcentaje;2023T1;12,1
De 45 a 49 años;Ambos sexos;Porcentaje;2022T4;12,2
De 45 a 49 años;Ambos sexos;Porcentaje;2022T3;11
De 45 a 49 años;Ambos sexos;Porcentaje;2022T2;11,2
De 45 a 49 años;Ambos sexos;Porcentaje;2022T1;11,6
De 45 a 49 años;Ambos sexos;Porcentaje;2021T4;11,9
De 45 a 49 años;Ambos sexos;Porcentaje;2021T3;11,2
De 45 a 49 años;Ambos sexos;Porcentaje;2021T2;11,3
De 45 a 49 años;Ambos sexos;Porcentaje;2021T1;11,7
De 45 a 49 años;Ambos sexos;Porcentaje;2020T4;11,7
De 45 a 49 años;Ambos sexos;Porcentaje;2020T3;11,9
De 45 a 49 años;Ambos sexos;Porcentaje;2020T2;11,3
De 45 a 49 años;Ambos sexos;Porcentaje;2020T1;11,9
De 45 a 49 años;Ambos sexos;Porcentaje;2019T4;12,1
De 45 a 49 años;Ambos sexos;Porcentaje;2019T3;11,5
De 45 a 49 años;Ambos sexos;Porcentaje;2019T2;11,6
De 45 a 49 años;Ambos sexos;Porcentaje;2019T1;12,3
De 45 a 49 años;Ambos sexos;Porcentaje;2018T4;11,5
De 45 a 49 años;Ambos sexos;Porcentaje;2018T3;11,8
De 45 a 49 años;Ambos sexos;Porcentaje;2018T2;12,8
De 45 a 49 años;Ambos sexos;Porcentaje;2018T1;12,2
De 45 a 49 años;Ambos sexos;Porcentaje;2017T4;12,2
De 45 a 49 años;Ambos sexos;Porcentaje;2017T3;12,1
De 45 a 49 años;Ambos sexos;Porcentaje;2017T2;12,3
De 45 a 49 años;Ambos sexos;Porcentaje;2017T1;12,8
De 45 a 49 años;Ambos sexos;Porcentaje;2016T4;12,1
De 45 a 49 años;Ambos sexos;Porcentaje;2016T3;12,3
De 45 a 49 años;Ambos sexos;Porcentaje;2016T2;11,7
De 45 a 49 años;Ambos sexos;Porcentaje;2016T1;12,5
De 45 a 49 años;Ambos sexos;Porcentaje;2015T4;12,5
De 45 a 49 años;Ambos sexos;Porcentaje;2015T3;12,4
De 45 a 49 años;Ambos sexos;Porcentaje;2015T2;12,6
De 45 a 49 años;Ambos sexos;Porcentaje;2015T1;12,6
De 45 a 49 años;Ambos sexos;Porcentaje;2014T4;11,9
De 45 a 49 años;Ambos sexos;Porcentaje;2014T3;12,1
De 45 a 49 años;Ambos sexos;Porcentaje;2014T2;12,5
De 45 a 49 años;Ambos sexos;Porcentaje;2014T1;12,2
De 45 a 49 años;Ambos sexos;Porcentaje;2013T4;11,7
De 45 a 49 años;Ambos sexos;Porcentaje;2013T3;11,9
De 45 a 49 años;Ambos sexos;Porcentaje;2013T2;12,2
De 45 a 49 años;Ambos sexos;Porcentaje;2013T1;11,7
De 45 a 49 años;Ambos sexos;Porcentaje;2012T4;11,4
De 45 a 49 años;Ambos sexos;Porcentaje;2012T3;11,4
De 45 a 49 años;Ambos sexos;Porcentaje;2012T2;11,4
De 45 a 49 años;Ambos sexos;Porcentaje;2012T1;11
De 45 a 49 años;Ambos sexos;Porcentaje;2011T4;11
De 45 a 49 años;Ambos sexos;Porcentaje;2011T3;10,5
De 45 a 49 años;Ambos sexos;Porcentaje;2011T2;10,3
De 45 a 49 años;Ambos sexos;Porcentaje;2011T1;10,7
De 45 a 49 años;Ambos sexos;Porcentaje;2010T4;10
De 45 a 49 años;Ambos sexos;Porcentaje;2010T3;9,6
De 45 a 49 años;Ambos sexos;Porcentaje;2010T2;10
De 45 a 49 años;Ambos sexos;Porcentaje;2010T1;10,2
De 45 a 49 años;Ambos sexos;Porcentaje;2009T4;9,5
De 45 a 49 años;Ambos sexos;Porcentaje;2009T3;9,2
De 45 a 49 años;Ambos sexos;Porcentaje;2009T2;9,5
De 45 a 49 años;Ambos sexos;Porcentaje;2009T1;9,7
De 45 a 49 años;Ambos sexos;Porcentaje;2008T4;9,2
De 45 a 49 años;Ambos sexos;Porcentaje;2008T3;8,7
De 45 a 49 años;Ambos sexos;Porcentaje;2008T2;8,9
De 45 a 49 años;Ambos sexos;Porcentaje;2008T1;8,8
De 45 a 49 años;Ambos sexos;Porcentaje;2007T4;9,6
De 45 a 49 años;Ambos sexos;Porcentaje;2007T3;9,1
De 45 a 49 años;Ambos sexos;Porcentaje;2007T2;8,6
De 45 a 49 años;Ambos sexos;Porcentaje;2007T1;8,1
De 45 a 49 años;Ambos sexos;Porcentaje;2006T4;8,2
De 45 a 49 años;Ambos sexos;Porcentaje;2006T3;7,9
De 45 a 49 años;Ambos sexos;Porcentaje;2006T2;7,2
De 45 a 49 años;Ambos sexos;Porcentaje;2006T1;8,1
De 45 a 49 años;Ambos sexos;Porcentaje;2005T4;8,5
De 45 a 49 años;Ambos sexos;Porcentaje;2005T3;7,9
De 45 a 49 años;Ambos sexos;Porcentaje;2005T2;7,7
De 45 a 49 años;Ambos sexos;Porcentaje;2005T1;7,9
De 45 a 49 años;Ambos sexos;Porcentaje;2004T4;8,2
De 45 a 49 años;Ambos sexos;Porcentaje;2004T3;8
De 45 a 49 años;Ambos sexos;Porcentaje;2004T2;7,8
De 45 a 49 años;Ambos sexos;Porcentaje;2004T1;7,4
De 45 a 49 años;Ambos sexos;Porcentaje;2003T4;7,5
De 45 a 49 años;Ambos sexos;Porcentaje;2003T3;7
De 45 a 49 años;Ambos sexos;Porcentaje;2003T2;7,5
De 45 a 49 años;Ambos sexos;Porcentaje;2003T1;7,8
De 45 a 49 años;Ambos sexos;Porcentaje;2002T4;7,5
De 45 a 49 años;Ambos sexos;Porcentaje;2002T3;7,4
De 45 a 49 años;Ambos sexos;Porcentaje;2002T2;7,4
De 45 a 49 años;Ambos sexos;Porcentaje;2002T1;6,9
De 45 a 49 años;Hombres;Valor absoluto;2026T1;115,1
De 45 a 49 años;Hombres;Valor absoluto;2025T4;113,2
De 45 a 49 años;Hombres;Valor absoluto;2025T3;117,9
De 45 a 49 años;Hombres;Valor absoluto;2025T2;126,4
De 45 a 49 años;Hombres;Valor absoluto;2025T1;144,7
De 45 a 49 años;Hombres;Valor absoluto;2024T4;132,6
De 45 a 49 años;Hombres;Valor absoluto;2024T3;125,9
De 45 a 49 años;Hombres;Valor absoluto;2024T2;139,1
De 45 a 49 años;Hombres;Valor absoluto;2024T1;152,1
De 45 a 49 años;Hombres;Valor absoluto;2023T4;136,2
De 45 a 49 años;Hombres;Valor absoluto;2023T3;126,2
De 45 a 49 años;Hombres;Valor absoluto;2023T2;126,9
De 45 a 49 años;Hombres;Valor absoluto;2023T1;161,5
De 45 a 49 años;Hombres;Valor absoluto;2022T4;162,3
De 45 a 49 años;Hombres;Valor absoluto;2022T3;139
De 45 a 49 años;Hombres;Valor absoluto;2022T2;134,7
De 45 a 49 años;Hombres;Valor absoluto;2022T1;145,4
De 45 a 49 años;Hombres;Valor absoluto;2021T4;146
De 45 a 49 años;Hombres;Valor absoluto;2021T3;164,5
De 45 a 49 años;Hombres;Valor absoluto;2021T2;160,6
De 45 a 49 años;Hombres;Valor absoluto;2021T1;182,6
De 45 a 49 años;Hombres;Valor absoluto;2020T4;181,5
De 45 a 49 años;Hombres;Valor absoluto;2020T3;193,9
De 45 a 49 años;Hombres;Valor absoluto;2020T2;180,4
De 45 a 49 años;Hombres;Valor absoluto;2020T1;176
De 45 a 49 años;Hombres;Valor absoluto;2019T4;170,7
De 45 a 49 años;Hombres;Valor absoluto;2019T3;165,9
De 45 a 49 años;Hombres;Valor absoluto;2019T2;164
De 45 a 49 años;Hombres;Valor absoluto;2019T1;176,1
