cno4,pdf_title_line,pdf_page,sepe_title,in_pdf,in_sepe
2454,Ingenieros geógrafos y cartógrafos,76,Ingenieros geógrafos y cartógrafos,True,True
2461,Ingenieros técnicos industriales y de producción,77,Ingenieros técnicos industriales y de producción,True,True
2462,Ingenieros técnicos de obras públicas,78,Ingenieros técnicos de obras públicas,True,True
2463,Ingenieros técnicos mecánicos,78,Ingenieros técnicos mecánicos,True,True
2464,Ingenieros técnicos aeronáuticos,79,Ingenieros técnicos aeronáuticos,True,True
2465,Ingenieros técnicos químicos,79,Ingenieros técnicos químicos,True,True
2466,"Ingenieros técnicos de minas, metalúrgicos y afines",80,"Ingenieros técnicos de minas, metalúrgicos y afines",True,True
2469,Ingenieros técnicos no clasificados bajo otros epígrafes,80,Ingenieros técnicos no clasificados bajo otros epígrafes,True,True
2471,Ingenieros técnicos en electricidad,81,Ingenieros técnicos en electricidad,True,True
2472,Ingenieros técnicos en electrónica,81,Ingenieros técnicos en electrónica,True,True
2473,Ingenieros técnicos en telecomunicaciones,82,Ingenieros técnicos en telecomunicaciones,True,True
2481,Arquitectos técnicos y técnicos urbanistas,82,Arquitectos técnicos y técnicos urbanistas,True,True
2482,Diseñadores de productos y de prendas,83,Diseñadores de productos y de prendas,True,True
2483,Ingenieros técnicos en topografía,84,Ingenieros técnicos en topografía,True,True
2484,Diseñadores gráficos y multimedia,84,Diseñadores gráficos y multimedia,True,True
2511,Abogados,85,Abogados,True,True
2512,Fiscales,86,Fiscales,True,True
2513,Jueces y magistrados,86,Jueces y magistrados,True,True
2591,Notarios y registradores,87,Notarios y registradores,True,True
2592,Procuradores,88,Procuradores,True,True
2599,Profesionales del derecho no clasificados bajo otros epígrafes,88,Profesionales del derecho no clasificados bajo otros epígrafes,True,True
2611,Especialistas en contabilidad,88,Especialistas en contabilidad,True,True
2612,Asesores financieros y en inversiones,89,Asesores financieros y en inversiones,True,True
2613,Analistas financieros,90,Analistas financieros,True,True
2621,Analistas de gestión y organización,90,Analistas de gestión y organización,True,True
2622,Especialistas en administración de política de empresas,91,Especialistas en administración de política de empresas,True,True
2623,Especialistas de la Administración Pública,92,Especialistas de la administración pública,True,True
2624,Especialistas en políticas y servicios de personal y afines,92,Especialistas en políticas y servicios de personal y afines,True,True
2625,Especialistas en formación de personal,93,Especialistas en formación de personal,True,True
2630,Técnicos de empresas y actividades turísticas,94,Técnicos de empresas y actividades turísticas,True,True
2640,Profesionales de ventas técnicas y médicas (excepto las TIC),94,Profesionales de ventas técnicas y médicas (excepto las tic),True,True
2651,Profesionales de la publicidad y la comercialización,95,Profesionales de la publicidad y la comercialización,True,True
2652,Profesionales de relaciones públicas,96,Profesionales de relaciones públicas,True,True
2653,Profesionales de la venta de tecnologías de la información y las comunicaci o-,97,Profesionales de la venta de tecnologías de la información y las comunicaciones,True,True
2711,Analistas de sistemas,97,Analistas de sistemas,True,True
2712,Analistas y diseñadores de software,98,Analistas y diseñadores de software,True,True
2713,"Analistas, programadores y diseñadores Web y multimedia",98,"Analistas, programadores y diseñadores web y multimedia",True,True
2719,Analistas y diseñadores de software y multimedia no clasificados bajo otros,99,Analistas y diseñadores de software y multimedia no clasificados bajo otros epígrafes,True,True
2721,Diseñadores y administradores de bases de datos,100,Diseñadores y administradores de bases de datos,True,True
