cno4,total_meses,meses_parados_0,porcentaje_meses_parados_0
7812,63,0,0.0
7820,63,0,0.0
7831,63,0,0.0
7832,63,0,0.0
7833,63,0,0.0
7834,63,0,0.0
7835,63,0,0.0
7836,63,0,0.0
7837,63,0,0.0
7891,63,0,0.0
7892,63,0,0.0
7893,63,0,0.0
7894,63,0,0.0
7899,63,0,0.0
8111,63,0,0.0
8112,63,0,0.0
8113,63,0,0.0
8114,63,0,0.0
8121,63,0,0.0
8122,63,0,0.0
8131,63,0,0.0
8132,63,0,0.0
8133,63,0,0.0
8141,63,0,0.0
8142,63,0,0.0
8143,63,0,0.0
8144,63,0,0.0
8145,63,0,0.0
8151,63,0,0.0
8152,63,0,0.0
8153,63,0,0.0
8154,63,0,0.0
8155,63,0,0.0
8156,63,0,0.0
8159,63,0,0.0
8160,63,0,0.0
8170,63,0,0.0
8191,63,0,0.0
8192,63,0,0.0
8193,63,0,0.0
8199,63,0,0.0
8201,63,0,0.0
8202,63,0,0.0
8209,63,0,0.0
8311,63,0,0.0
8312,63,0,0.0
8321,63,0,0.0
8322,63,0,0.0
8331,63,0,0.0
8332,63,0,0.0
8333,63,0,0.0
8340,63,0,0.0
8411,63,0,0.0
8412,63,0,0.0
8420,63,0,0.0
8431,63,0,0.0
8432,63,0,0.0
8440,63,0,0.0
9100,63,0,0.0
9210,63,0,0.0
9221,63,0,0.0
9222,63,0,0.0
9223,63,0,0.0
9229,63,0,0.0
9310,63,0,0.0
9320,63,0,0.0
9410,63,0,0.0
9420,63,0,0.0
9431,63,0,0.0
9432,63,0,0.0
9433,63,0,0.0
9434,63,0,0.0
9441,63,0,0.0
9442,63,0,0.0
9443,63,0,0.0
9490,63,0,0.0
9511,63,0,0.0
9512,63,0,0.0
9520,63,0,0.0
9530,63,0,0.0
9541,63,0,0.0
9542,63,0,0.0
9543,63,0,0.0
9601,63,0,0.0
9602,63,0,0.0
9603,63,0,0.0
9700,63,0,0.0
9811,63,0,0.0
9812,63,0,0.0
9820,63,0,0.0
