period,cno4,dimension,category,gender,contratos,parados,personas,source_url
2022-09,2230,province,Barcelona,Total,1120,707,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Burgos,Total,49,64,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Cáceres,Total,43,102,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Cádiz,Total,222,309,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Castellón/Castelló,Total,90,97,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Ciudad Real,Total,40,152,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Córdoba,Total,137,161,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,"Coruña, A",Total,122,361,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Cuenca,Total,5,37,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Girona,Total,81,115,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Granada,Total,223,241,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Guadalajara,Total,39,67,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Gipuzkoa,Total,352,140,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Huelva,Total,71,94,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Huesca,Total,30,26,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Jaén,Total,92,131,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,León,Total,33,126,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Lleida,Total,69,58,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,"Rioja, La",Total,79,59,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Lugo,Total,36,104,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Madrid,Total,1880,1444,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Málaga,Total,387,327,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Murcia,Total,445,429,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Navarra,Total,2267,143,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Ourense,Total,64,85,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Asturias,Total,120,249,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Palencia,Total,13,39,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,"Palmas, Las",Total,236,194,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Pontevedra,Total,145,290,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Salamanca,Total,40,97,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Santa Cruz de Tenerife,Total,204,167,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Cantabria,Total,70,142,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Segovia,Total,17,31,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Sevilla,Total,479,431,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Soria,Total,13,14,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Tarragona,Total,110,108,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Teruel,Total,11,23,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Toledo,Total,73,99,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Valencia/València,Total,481,612,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Valladolid,Total,83,124,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Bizkaia,Total,495,360,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Zamora,Total,9,39,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Zaragoza,Total,242,157,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Ceuta,Total,27,10,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2230,province,Melilla,Total,3,8,,provider://sepe/ocup_prov_2022.xlsx#2230/2022-09
2022-09,2323,gender,Hombre,Hombre,2556,777,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,gender,Mujer,Mujer,2797,1227,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,age,<18,Total,45,4,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,age,18-24,Total,1176,100,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,age,25-29,Total,1306,296,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,age,30-39,Total,1494,452,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,age,40-44,Total,515,240,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,age,>44,Total,817,912,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Araba/Álava,Total,39,20,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Albacete,Total,31,19,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Alicante/Alacant,Total,330,106,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Almería,Total,31,23,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Ávila,Total,13,8,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Badajoz,Total,48,34,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,"Balears, Illes",Total,120,24,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Barcelona,Total,890,185,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Burgos,Total,24,16,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Cáceres,Total,12,11,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Cádiz,Total,31,36,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Castellón/Castelló,Total,113,18,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Ciudad Real,Total,66,35,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Córdoba,Total,43,47,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,"Coruña, A",Total,139,38,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
